origin_trct_2020,"10 (Champaign, IL)","106.04 (Champaign, IL)","109.01 (Champaign, IL)","109.02 (Champaign, IL)","11 (Champaign, IL)","110.01 (Champaign, IL)","110.02 (Champaign, IL)","111 (Champaign, IL)","12.01 (Champaign, IL)","12.03 (Champaign, IL)","12.04 (Champaign, IL)","12.05 (Champaign, IL)","12.06 (Champaign, IL)","13.01 (Champaign, IL)","13.02 (Champaign, IL)","14 (Champaign, IL)","2 (Champaign, IL)","3.01 (Champaign, IL)","3.02 (Champaign, IL)","4.01 (Champaign, IL)","4.02 (Champaign, IL)","5 (Champaign, IL)","53 (Champaign, IL)","54.01 (Champaign, IL)","54.02 (Champaign, IL)","55 (Champaign, IL)","56.01 (Champaign, IL)","56.02 (Champaign, IL)","57.01 (Champaign, IL)","57.02 (Champaign, IL)","58 (Champaign, IL)","59.01 (Champaign, IL)","59.02 (Champaign, IL)","60 (Champaign, IL)","7 (Champaign, IL)","8 (Champaign, IL)","9.01 (Champaign, IL)","9.02 (Champaign, IL)"
"10 (Champaign, IL)",1.8235294117647058,7.0,12.0,11.0,2.272727272727273,3.6363636363636362,3.736842105263158,7.333333333333333,2.911111111111111,4.416666666666667,7.4,6.833333333333333,5.5,4.7272727272727275,8.0,9.666666666666666,6.0,6.153846153846154,6.428571428571429,6.5,6.0,4.142857142857143,7.0,12.0,11.0,11.0,11.875,11.666666666666666,11.0,14.5,9.2,7.0,7.3,8.0,4.352941176470588,5.9523809523809526,3.46875,3.8
"106.04 (Champaign, IL)",7.5,2.0,19.0,,12.0,8.0,7.0,8.0,10.5,10.0,13.0,13.0,14.0,12.0,12.0,13.0,8.0,10.0,8.0,11.0,10.0,10.0,5.125,12.0,12.0,12.0,8.0,8.0,10.0,20.0,14.0,8.0,10.0,12.0,7.25,5.0,4.666666666666667,8.666666666666666
"109.01 (Champaign, IL)",15.0,17.0,2.0,4.0,10.0,12.0,10.0,14.0,10.666666666666666,10.0,9.0,14.666666666666666,10.0,7.0,5.333333333333333,8.0,12.0,10.0,10.0,11.0,10.0,9.875,15.0,13.5,20.0,14.0,14.0,14.0,11.5,10.0,9.0,11.0,11.0,8.5,14.0,15.5,14.0,15.15625
"109.02 (Champaign, IL)",11.0,17.0,3.3333333333333335,3.0,9.0,10.0,10.333333333333332,11.0,10.0,9.0,8.0,12.0,11.0,7.0,5.0,5.75,10.5,9.875,10.0,9.333333333333334,9.0,9.75,12.0,13.75,19.0,13.5,14.0,11.0,10.0,13.0,10.0,11.0,9.0,9.0,11.0,17.326923076923077,10.0,14.5
"11 (Champaign, IL)",2.0625,10.0,11.5,8.1875,1.391304347826087,3.3333333333333335,3.0,7.0,2.4285714285714284,4.25,8.0,9.2,4.0,2.25,7.2,4.45,6.5,4.666666666666667,5.25,4.25,3.6666666666666665,2.0,10.0,9.142857142857142,10.5,10.0,10.5,10.25,9.0,11.25,7.125,6.0,7.0,5.0,6.0,6.714285714285714,4.25,5.909090909090909
"110.01 (Champaign, IL)",2.5,8.0,13.0,12.0,4.0,1.0,2.2941176470588234,3.0,6.0,7.0,10.0,10.333333333333334,,5.5,8.0,3.888888888888889,2.0,4.0,2.0,3.3333333333333335,3.1,2.0,4.461538461538462,6.5,7.0,6.75,9.333333333333334,12.0,10.0,12.0,6.0,5.5,4.666666666666667,7.0,2.25,4.666666666666667,4.0,5.714285714285714
"110.02 (Champaign, IL)",3.2222222222222223,7.25,9.0,9.5,3.923076923076923,1.5625,1.2580645161290323,4.5,6.0,7.615384615384615,10.0,10.5,9.5,4.758620689655173,7.733333333333333,3.45,1.75,1.3333333333333333,1.4,3.6666666666666665,1.5,1.8214285714285714,3.9,5.166666666666667,8.25,7.153846153846154,7.7272727272727275,9.75,8.3,10.0,5.454545454545454,4.25,3.75,4.875,2.1818181818181817,5.863636363636363,4.3125,8.142857142857142
"111 (Champaign, IL)",7.7,11.0,14.0,13.5,9.333333333333334,5.428571428571429,5.2,1.2,10.642857142857142,11.4,13.11111111111111,14.461538461538462,13.0,8.88888888888889,11.5,8.117647058823529,3.7777777777777777,4.125,2.5,2.4285714285714284,3.2,5.833333333333333,3.0434782608695654,2.0,5.333333333333333,2.5714285714285716,4.209302325581396,5.5,4.592592592592593,6.333333333333333,2.6666666666666665,2.0,1.5,3.5,5.5,8.05,7.428571428571429,11.375
"12.01 (Champaign, IL)",2.65625,10.0,13.0,12.0,2.8285714285714287,5.428571428571429,5.384615384615385,10.222222222222221,2.506666666666667,3.34375,5.8,6.166666666666667,5.0,5.076923076923077,8.0,8.8,8.0,6.875,6.7272727272727275,6.666666666666667,6.0,4.333333333333333,8.25,11.25,11.8,12.125,10.555555555555555,13.666666666666666,11.0,13.25,8.833333333333334,9.666666666666666,8.857142857142858,9.0,6.923076923076923,8.363636363636363,4.7,4.45945945945946
"12.03 (Champaign, IL)",5.375,10.0,11.0,10.416666666666668,3.1666666666666665,7.5,6.222222222222222,12.25,3.4242424242424243,2.8181818181818183,4.133333333333334,5.580645161290323,1.0,3.96,7.285714285714286,7.5,8.0,8.0,7.5,7.0,8.0,5.4375,11.285714285714286,13.0,15.666666666666666,12.75,11.0,14.5,9.5,14.5,10.5,7.0,9.5,7.0,10.666666666666666,10.333333333333334,8.272727272727273,6.428571428571429
"12.04 (Champaign, IL)",7.5,13.0,9.0,8.75,6.0,10.0,8.5,14.0,8.5,3.466666666666667,2.0,5.375,2.0,5.0,3.6666666666666665,9.0,11.0,10.0,10.333333333333334,11.0,9.0,7.0,12.5,15.5,17.0,13.666666666666666,12.5,13.0,14.0,14.0,11.666666666666666,10.333333333333334,11.5,10.0,12.5,13.0,10.833333333333332,7.25
"12.05 (Champaign, IL)",9.5,14.0,14.333333333333334,13.3,7.75,13.0,12.8,15.5,6.6,6.25,4.222222222222222,4.551724137931035,2.0,9.181818181818182,9.166666666666666,12.666666666666666,12.5,12.0,12.5,13.0,13.0,8.0,15.285714285714286,16.5,16.5,14.0,16.25,15.5,16.666666666666668,18.0,16.0,12.666666666666666,14.0,13.0,12.0,13.461538461538462,11.833333333333334,7.571428571428571
"12.06 (Champaign, IL)",5.5,,10.0,14.0,6.5,,9.0,12.5,5.0,1.0,3.5,5.0,3.0,4.0,9.625,8.0,10.0,10.0,10.0,10.0,10.0,9.0,14.0,14.0,,14.0,12.0,11.0,10.0,13.0,12.0,12.0,11.0,11.0,,11.333333333333332,11.0,5.0
"13.01 (Champaign, IL)",4.526315789473684,11.0,8.333333333333334,7.333333333333333,2.5714285714285716,5.333333333333333,4.333333333333333,5.0,5.142857142857143,4.777777777777778,5.583333333333333,8.454545454545455,6.0,2.203125,4.853658536585366,4.617647058823529,6.090909090909091,4.2,4.777777777777778,3.789473684210526,3.5,2.4166666666666665,8.75,12.0,13.0,10.0,9.444444444444445,7.875,6.28125,8.125,6.125,5.2,5.5,6.0,6.5,9.055555555555555,6.944444444444445,8.6
"13.02 (Champaign, IL)",7.4,12.5,4.85,2.2857142857142856,6.625,6.666666666666667,8.11111111111111,10.0,7.947368421052632,6.666666666666667,5.714285714285714,9.857142857142858,11.0,4.653846153846154,2.7096774193548385,4.391304347826087,9.666666666666666,7.6,7.333333333333333,7.333333333333333,7.333333333333333,4.8,13.0,12.875,14.5,13.5,10.333333333333334,7.5,8.714285714285714,7.0,7.666666666666667,6.0,7.5,7.0,9.333333333333334,10.789473684210526,10.0,12.3125
"14 (Champaign, IL)",6.428571428571429,12.0,6.125,5.666666666666667,4.818181818181818,5.333333333333333,4.777777777777778,4.333333333333333,8.0,8.6,8.666666666666666,10.75,8.0,5.045454545454546,5.65,2.0754716981132075,3.8,2.7142857142857144,3.727272727272727,2.27027027027027,1.8918918918918919,3.6,6.384615384615385,7.333333333333333,10.0,7.769230769230769,8.166666666666666,8.5,7.05,8.0,4.153846153846154,2.6744186046511627,3.106382978723404,4.2,6.428571428571429,9.2,8.272727272727273,11.0
"2 (Champaign, IL)",4.5,8.0,11.5,10.0,4.666666666666667,3.0,2.0,2.6666666666666665,9.0,10.5,10.666666666666666,15.0,10.0,5.0,9.0,5.0,1.0,1.6,1.0,2.75,2.0,3.0,2.4285714285714284,5.166666666666666,7.333333333333333,6.0,5.0,11.0,7.0,11.0,4.333333333333333,4.0,3.0,5.0,3.3333333333333335,5.083333333333333,4.25,7.888888888888889
"3.01 (Champaign, IL)",6.428571428571429,9.0,10.333333333333334,9.25,4.0,3.3333333333333335,1.9375,3.3076923076923075,6.666666666666667,6.75,11.0,9.0,10.0,5.25,7.285714285714286,3.295774647887324,2.375,1.1777777777777778,1.0909090909090908,0.890625,1.5789473684210527,2.2666666666666666,4.529411764705882,6.5,9.0,7.25,6.3,8.0,6.684210526315789,8.0,3.5217391304347827,2.607142857142857,1.8571428571428572,4.363636363636363,4.0,7.151515151515151,7.125,9.583333333333334
"3.02 (Champaign, IL)",5.333333333333333,8.0,10.0,9.0,4.666666666666667,3.333333333333333,1.0,3.0,7.333333333333333,7.666666666666667,10.333333333333334,13.0,9.0,4.333333333333333,7.714285714285714,3.111111111111111,1.3333333333333333,1.0,1.0,1.75,1.5,2.6666666666666665,3.1666666666666665,7.0,6.0,6.0,7.5,9.25,7.5,9.0,3.3333333333333335,3.5,2.9285714285714284,4.5,3.0,6.3125,4.75,9.0
"4.01 (Champaign, IL)",6.666666666666667,11.5,8.75,11.0,5.25,4.0,3.6666666666666665,3.4,8.75,7.5,11.0,12.0,10.0,5.25,6.0,2.9361702127659575,5.0,1.7428571428571429,2.125,1.4761904761904763,1.6666666666666667,3.5,6.666666666666667,7.0,10.0,6.0,6.4,8.0,5.714285714285714,9.0,4.05,3.25,2.7083333333333335,5.666666666666667,5.5,7.928571428571429,7.666666666666667,10.5
