origin_trct_2020,"10 (Champaign, IL)","106.04 (Champaign, IL)","109.01 (Champaign, IL)","109.02 (Champaign, IL)","11 (Champaign, IL)","110.01 (Champaign, IL)","110.02 (Champaign, IL)","111 (Champaign, IL)","12.01 (Champaign, IL)","12.03 (Champaign, IL)","12.04 (Champaign, IL)","12.05 (Champaign, IL)","12.06 (Champaign, IL)","13.01 (Champaign, IL)","13.02 (Champaign, IL)","14 (Champaign, IL)","2 (Champaign, IL)","3.01 (Champaign, IL)","3.02 (Champaign, IL)","4.01 (Champaign, IL)","4.02 (Champaign, IL)","5 (Champaign, IL)","53 (Champaign, IL)","54.01 (Champaign, IL)","54.02 (Champaign, IL)","55 (Champaign, IL)","56.01 (Champaign, IL)","56.02 (Champaign, IL)","57.01 (Champaign, IL)","57.02 (Champaign, IL)","58 (Champaign, IL)","59.01 (Champaign, IL)","59.02 (Champaign, IL)","60 (Champaign, IL)","7 (Champaign, IL)","8 (Champaign, IL)","9.01 (Champaign, IL)","9.02 (Champaign, IL)"
"10 (Champaign, IL)",1.6,7.0,11.0,12.666666666666666,2.0,3.0,3.0,8.0,2.909090909090909,5.0,7.0,11.5,5.5,4.25,7.5,6.0,7.0,6.0,6.0,8.0,7.0,3.8,8.0,9.0,11.0,11.0,12.0,12.0,11.0,14.0,8.0,7.0,7.3,9.0,4.0,7.666666666666667,2.25,4.6923076923076925
"106.04 (Champaign, IL)",7.5,2.0,19.0,,12.0,8.0,7.0,8.0,12.0,10.0,13.0,13.0,14.0,12.0,12.0,13.0,8.0,10.0,8.0,11.0,10.0,10.0,5.0,12.0,12.0,12.0,14.0,8.0,10.0,20.0,14.0,8.0,10.0,12.0,8.0,5.0,4.666666666666667,6.0
"109.01 (Champaign, IL)",15.0,17.0,2.0,4.0,10.0,12.0,10.0,14.0,10.0,10.0,9.0,14.666666666666666,10.0,7.0,3.0,6.333333333333333,12.0,10.0,10.0,11.0,10.0,10.5,15.0,13.0,20.0,14.0,14.0,14.0,11.5,10.0,9.0,11.0,10.0,9.0,13.0,15.333333333333334,14.0,15.0
"109.02 (Champaign, IL)",13.0,17.0,3.0,3.0,9.0,10.0,10.666666666666666,11.0,14.0,9.333333333333334,8.0,18.0,11.0,8.5,7.0,4.5,10.5,10.0,10.0,9.333333333333334,8.0,9.5,16.0,14.5,19.0,13.5,12.0,11.0,10.0,13.0,10.0,11.0,9.0,8.0,11.0,18.0,10.0,14.5
"11 (Champaign, IL)",2.0,10.0,11.5,8.0,1.4375,3.3333333333333335,3.0,8.0,2.0,3.0,8.333333333333334,8.6,4.0,3.5,7.0,4.0,7.0,3.0,5.25,4.0,3.0,3.0,7.0,9.142857142857142,10.5,10.0,12.0,10.0,10.0,11.0,7.0,6.0,6.0,5.0,4.0,7.0,4.5,5.0
"110.01 (Champaign, IL)",1.0,8.0,13.0,12.0,2.6666666666666665,1.0,1.2,3.0,4.0,7.0,10.0,13.0,,5.5,8.0,5.0,3.5,3.0,2.0,4.0,3.3333333333333335,3.0,3.0,7.0,7.0,7.0,9.333333333333334,12.0,10.0,12.0,6.0,6.0,4.666666666666667,6.0,3.0,6.0,3.5,5.714285714285714
"110.02 (Champaign, IL)",2.0,7.0,8.0,10.5,2.0,1.75,0.7142857142857143,4.5,6.666666666666667,7.714285714285714,7.0,10.0,9.5,4.333333333333333,6.8,3.6666666666666665,2.25,2.0,1.6666666666666667,3.6666666666666665,2.0,1.7142857142857142,3.0,5.166666666666667,8.0,8.0,8.0,10.666666666666666,9.0,9.0,5.166666666666667,4.25,3.6666666666666665,5.0,1.625,6.0,4.0,9.076923076923077
"111 (Champaign, IL)",6.0,11.0,10.666666666666666,13.5,7.0,4.5,5.714285714285714,0.8,10.75,11.0,13.0,15.6,13.0,7.0,11.0,7.285714285714286,5.0,3.0,1.5,2.3333333333333335,3.25,6.0,2.8461538461538463,3.5,4.5,3.3,1.6666666666666667,6.0,6.5,10.0,1.7142857142857142,1.0,1.8,3.6666666666666665,4.0,8.666666666666666,6.0,13.5
"12.01 (Champaign, IL)",3.142857142857143,10.0,10.0,11.0,2.7142857142857144,6.0,3.3333333333333335,9.25,2.5714285714285716,4.214285714285714,6.5,7.230769230769231,5.0,3.857142857142857,6.0,8.0,8.0,7.0,6.7272727272727275,6.666666666666667,7.0,3.0,9.2,11.0,13.666666666666666,13.5,13.0,13.0,11.8,13.25,8.5,9.0,7.428571428571429,10.0,7.0,8.666666666666666,5.333333333333333,5.0
"12.03 (Champaign, IL)",5.777777777777778,10.0,11.0,10.5,3.3333333333333335,7.5,8.0,12.25,4.0,3.0,3.6666666666666665,5.166666666666667,1.0,2.727272727272727,6.333333333333333,8.0,8.0,8.0,7.0,7.0,6.0,5.25,12.0,13.0,15.666666666666666,12.75,13.0,14.5,9.5,14.5,11.5,7.0,9.5,7.0,9.0,11.0,6.0,8.0
