origin_trct_2020,"10 (Champaign, IL)","106.04 (Champaign, IL)","109.01 (Champaign, IL)","109.02 (Champaign, IL)","11 (Champaign, IL)","110.01 (Champaign, IL)","110.02 (Champaign, IL)","111 (Champaign, IL)","12.01 (Champaign, IL)","12.03 (Champaign, IL)","12.04 (Champaign, IL)","12.05 (Champaign, IL)","12.06 (Champaign, IL)","13.01 (Champaign, IL)","13.02 (Champaign, IL)","14 (Champaign, IL)","2 (Champaign, IL)","3.01 (Champaign, IL)","3.02 (Champaign, IL)","4.01 (Champaign, IL)","4.02 (Champaign, IL)","5 (Champaign, IL)","53 (Champaign, IL)","54.01 (Champaign, IL)","54.02 (Champaign, IL)","55 (Champaign, IL)","56.01 (Champaign, IL)","56.02 (Champaign, IL)","57.01 (Champaign, IL)","57.02 (Champaign, IL)","58 (Champaign, IL)","59.01 (Champaign, IL)","59.02 (Champaign, IL)","60 (Champaign, IL)","7 (Champaign, IL)","8 (Champaign, IL)","9.01 (Champaign, IL)","9.02 (Champaign, IL)"
"10 (Champaign, IL)",1.4923076923076923,7.0,12.0,12.0,2.2142857142857144,1.5238095238095237,3.5454545454545454,6.714285714285714,3.1746031746031744,6.580645161290323,8.0,9.25,7.0,5.611111111111111,7.64,6.472222222222222,4.466666666666667,6.153846153846154,3.7142857142857144,6.285714285714286,5.25,3.5,7.0,8.0,14.0,12.0,13.0,13.5,10.5,13.0,8.1875,7.555555555555555,7.090909090909091,8.666666666666666,3.2203389830508473,6.48936170212766,3.40625,4.405405405405405
"106.04 (Champaign, IL)",6.0,2.0,17.0,,11.0,9.5,8.0,12.25,11.333333333333334,12.0,11.5,11.0,14.0,11.0,11.0,13.0,9.0,10.0,10.0,13.0,11.0,10.0,7.333333333333333,9.6,13.0,7.0,7.5,12.0,10.0,18.0,14.0,7.0,12.0,12.0,7.0,5.454545454545454,5.0,9.0
"109.01 (Champaign, IL)",16.0,17.0,3.0,3.142857142857143,10.5,12.666666666666666,9.25,12.571428571428571,12.0,11.0,9.333333333333334,14.0,11.0,8.722222222222221,5.571428571428571,5.975609756097561,14.0,10.461538461538462,10.0,9.333333333333334,10.5,9.4,13.2,14.333333333333334,20.5,14.0,13.0,12.0,10.5,9.5,11.0,10.857142857142858,10.631578947368421,11.333333333333334,12.363636363636363,15.538461538461538,15.0,15.0
"109.02 (Champaign, IL)",12.833333333333332,17.0,5.0,2.0,11.5,11.0,8.8,11.5,12.0,10.75,8.0,12.833333333333334,9.0,7.7272727272727275,3.375,6.666666666666667,9.5,11.444444444444445,10.0,10.333333333333334,7.8,8.75,12.444444444444445,14.666666666666666,17.0,16.0,13.0,11.0,11.5,11.0,10.0,10.25,10.333333333333334,9.666666666666666,12.0,16.53846153846154,13.666666666666666,13.333333333333334
"11 (Champaign, IL)",2.6785714285714284,11.0,11.0,9.5,1.2619047619047619,2.272727272727273,3.75,7.526315789473684,2.876923076923077,3.933333333333333,6.738095238095238,10.0,5.5,3.0,6.0,4.787878787878788,6.0,4.5,5.0,5.357142857142857,4.921052631578948,2.32,8.2,9.375,14.0,11.0,9.0,9.0,10.666666666666666,12.333333333333334,7.333333333333333,5.666666666666667,6.190476190476191,6.25,5.0,6.767441860465116,4.0,5.703703703703703
"110.01 (Champaign, IL)",3.272727272727273,7.666666666666667,8.5,10.666666666666666,3.6666666666666665,1.263157894736842,1.8857142857142857,5.125,5.266666666666667,7.142857142857143,11.0,10.166666666666668,,4.6923076923076925,7.090909090909091,5.147058823529412,2.3333333333333335,3.6153846153846154,2.0,4.777777777777778,3.0,2.7142857142857144,4.619047619047619,6.833333333333333,8.0,9.444444444444445,8.0,11.0,10.0,12.75,6.333333333333333,5.0,5.107142857142857,7.0,1.3181818181818181,4.684210526315789,2.6363636363636362,7.0
"110.02 (Champaign, IL)",3.0,8.0,10.0,7.0,2.3333333333333335,1.3157894736842106,1.0,4.933333333333334,5.111111111111111,8.0,12.0,9.636363636363637,10.5,4.375,7.2727272727272725,4.423076923076923,2.4285714285714284,2.125,2.0,3.6315789473684212,3.0,1.5555555555555556,5.114285714285714,7.0,8.8,6.25,8.25,10.0,8.5,10.5,6.0,5.142857142857143,4.32,6.333333333333333,2.0,5.304347826086956,4.2,6.0
"111 (Champaign, IL)",7.25,11.0,11.5,13.0,7.666666666666667,5.5,2.6666666666666665,1.2,10.285714285714286,11.5,12.666666666666666,15.125,13.0,8.0,10.0,5.0,4.25,3.2857142857142856,3.25,3.142857142857143,4.142857142857143,4.0,3.4705882352941178,2.8,7.0,2.6,4.555555555555555,5.0,4.75,5.5,2.0434782608695654,2.4444444444444446,2.7333333333333334,6.0,6.5,8.4375,7.5,11.166666666666666
"12.01 (Champaign, IL)",3.2162162162162162,12.416666666666666,14.0,12.285714285714286,2.380952380952381,6.0588235294117645,7.0476190476190474,10.121951219512194,3.058201058201058,3.8529411764705883,7.777777777777778,7.1,4.0,4.897435897435898,8.272727272727273,7.897058823529412,8.0,7.170731707317073,7.5,8.176470588235293,6.545454545454546,5.818181818181818,11.17687074829932,12.411764705882353,12.5,13.263157894736842,10.0,15.0,11.5,10.0,11.0,9.147058823529411,8.666666666666666,8.933333333333334,8.108695652173912,9.877358490566039,7.375,5.314606741573034
"12.03 (Champaign, IL)",5.388888888888889,11.0,15.0,8.666666666666666,4.0,6.75,8.125,11.857142857142858,4.183098591549296,3.192982456140351,5.15,5.4,2.0,4.027027027027027,6.05,7.478260869565218,11.0,8.428571428571429,8.5,8.571428571428571,8.25,6.15,12.30952380952381,13.857142857142858,16.0,13.333333333333334,13.4375,10.5,12.0,10.0,11.4,8.6,9.52,10.5,10.0,11.150684931506849,8.571428571428571,7.411764705882353
