origin_trct_2020,"10 (Champaign, IL)","106.04 (Champaign, IL)","109.01 (Champaign, IL)","109.02 (Champaign, IL)","11 (Champaign, IL)","110.01 (Champaign, IL)","110.02 (Champaign, IL)","111 (Champaign, IL)","12.01 (Champaign, IL)","12.03 (Champaign, IL)","12.04 (Champaign, IL)","12.05 (Champaign, IL)","12.06 (Champaign, IL)","13.01 (Champaign, IL)","13.02 (Champaign, IL)","14 (Champaign, IL)","2 (Champaign, IL)","3.01 (Champaign, IL)","3.02 (Champaign, IL)","4.01 (Champaign, IL)","4.02 (Champaign, IL)","5 (Champaign, IL)","53 (Champaign, IL)","54.01 (Champaign, IL)","54.02 (Champaign, IL)","55 (Champaign, IL)","56.01 (Champaign, IL)","56.02 (Champaign, IL)","57.01 (Champaign, IL)","57.02 (Champaign, IL)","58 (Champaign, IL)","59.01 (Champaign, IL)","59.02 (Champaign, IL)","60 (Champaign, IL)","7 (Champaign, IL)","8 (Champaign, IL)","9.01 (Champaign, IL)","9.02 (Champaign, IL)"
"10 (Champaign, IL)",1.8,7.0,11.857142857142858,12.75,2.088235294117647,3.4814814814814814,4.046875,7.75,2.993006993006993,4.833333333333333,7.631578947368421,8.450980392156863,6.0,5.353535353535354,8.107142857142858,9.62962962962963,5.777777777777778,5.95,4.2,6.0,7.0,4.0344827586206895,7.565217391304348,9.478260869565217,11.0,11.090909090909092,12.058823529411764,12.833333333333334,12.1875,13.555555555555555,9.4,8.333333333333334,6.8,9.0,4.513513513513513,6.461538461538462,3.1842105263157894,3.9274193548387095
"106.04 (Champaign, IL)",6.75,2.0,19.0,,7.0,6.0,7.0,8.0,15.0,10.0,13.0,13.0,14.0,11.875,12.5,13.0,8.0,10.0,8.0,11.0,10.0078125,10.0,13.0,7.75,12.0,15.0,7.0,11.0,10.0,20.0,14.0,8.0,10.0,12.0,5.75,5.166666666666667,4.833333333333334,9.5
"109.01 (Champaign, IL)",11.666666666666666,17.0,3.5,3.1666666666666665,10.5,11.9375,9.75,12.5,11.333333333333334,10.25,9.166666666666668,13.0,10.0,8.4,4.4411764705882355,1.4285714285714286,10.0,10.25,10.0,10.0,9.0625,7.8125,14.666666666666666,16.0,20.0,14.0,14.0,10.0,11.0,9.333333333333334,10.5,9.666666666666666,9.0,9.5,13.0,14.722222222222221,13.6,16.25
"109.02 (Champaign, IL)",11.25,17.0,3.3846153846153846,3.0,9.0,10.0,9.666666666666666,12.0,11.857142857142858,9.25,8.0,14.0,11.0,6.846153846153846,3.5357142857142856,5.5,11.25,10.0,9.5,10.0,9.5,7.833333333333333,12.0,13.0,19.0,13.5,12.25,11.0,11.6875,11.0,11.0,11.0,9.0,10.0,13.75,20.176470588235293,13.333333333333334,15.0
"11 (Champaign, IL)",2.236842105263158,11.0,10.0,9.5,1.320754716981132,2.3333333333333335,3.27027027027027,8.083333333333334,2.2916666666666665,3.95,6.333333333333333,7.571428571428571,4.0,3.72,6.294117647058823,7.083333333333333,5.333333333333333,4.666666666666667,4.0,5.5,4.6,2.5,8.142857142857142,9.0,12.0625,10.166666666666666,10.666666666666666,11.333333333333334,9.8,11.333333333333334,8.916666666666668,6.5,6.222222222222222,6.0,4.5,6.982142857142857,4.5,5.346153846153846
"110.01 (Champaign, IL)",3.25,8.0,12.0,12.0,3.8,1.3333333333333333,1.5294117647058822,5.857142857142857,5.0,8.0,9.0,11.25,,5.0,7.2,4.9411764705882355,3.25,3.6,2.75,3.6666666666666665,3.4,3.0,5.25,6.0,7.0,6.75,9.333333333333334,11.666666666666668,9.333333333333334,12.0,5.5,5.333333333333333,4.5,7.0,2.3157894736842106,4.96969696969697,2.3333333333333335,4.833333333333333
"110.02 (Champaign, IL)",4.1891891891891895,7.5,9.166666666666666,8.9,3.3846153846153846,1.6304347826086956,1.171641791044776,4.733333333333333,6.148936170212766,7.541666666666667,10.24,11.944444444444445,9.5,4.65979381443299,7.4375,5.491228070175438,2.0,2.032258064516129,1.3478260869565217,3.085714285714286,2.111111111111111,2.0609756097560976,3.525,5.421052631578948,8.666666666666666,7.0,8.588235294117647,9.0,8.882352941176471,10.545454545454545,5.0625,4.555555555555555,3.6956521739130435,4.0,2.339622641509434,5.61344537815126,4.046511627906977,8.36734693877551
"111 (Champaign, IL)",8.551724137931034,7.5,12.666666666666666,13.5,8.25,5.857142857142857,4.634146341463414,1.391304347826087,10.804878048780488,11.916666666666666,13.0,15.461538461538462,13.0,8.432432432432432,9.916666666666666,6.136363636363637,3.3636363636363638,2.8484848484848486,3.1176470588235294,3.5555555555555554,4.416666666666667,5.230769230769231,3.1463414634146343,2.5,6.266666666666667,2.4193548387096775,3.493333333333333,5.826086956521739,4.726027397260274,6.5,1.9491525423728813,2.4242424242424243,2.27027027027027,4.0,5.5,8.171875,7.863636363636363,12.583333333333334
"12.01 (Champaign, IL)",2.888888888888889,10.0,12.555555555555555,13.444444444444445,2.421875,4.4,5.615384615384615,9.615384615384615,2.2620087336244543,3.0526315789473686,5.421052631578948,6.64367816091954,5.0,4.225352112676056,8.67741935483871,7.7894736842105265,8.25,6.7,6.25,7.25,6.0,5.611111111111111,8.875,10.705882352941176,12.0,11.777777777777779,12.071428571428571,13.0,12.235294117647058,12.5,10.8,12.0,8.277777777777779,10.0,7.3,9.178807947019868,5.27027027027027,4.706521739130435
"12.03 (Champaign, IL)",4.675,10.0,11.0,9.857142857142858,3.5,7.875,7.176470588235294,12.272727272727273,2.835294117647059,2.418181818181818,2.9069767441860463,5.942028985507246,3.0,3.7790697674418605,6.739130434782608,8.0,9.125,8.125,7.5,8.8,8.0,6.5,11.727272727272727,13.6,14.833333333333332,12.8,12.2,12.0,10.285714285714286,11.666666666666666,10.25,8.833333333333334,9.0,7.0,10.333333333333334,11.442622950819672,7.733333333333333,6.351351351351352
