origin_trct_2020,"10 (Champaign, IL)","106.04 (Champaign, IL)","109.01 (Champaign, IL)","109.02 (Champaign, IL)","11 (Champaign, IL)","110.01 (Champaign, IL)","110.02 (Champaign, IL)","111 (Champaign, IL)","12.01 (Champaign, IL)","12.03 (Champaign, IL)","12.04 (Champaign, IL)","12.05 (Champaign, IL)","12.06 (Champaign, IL)","13.01 (Champaign, IL)","13.02 (Champaign, IL)","14 (Champaign, IL)","2 (Champaign, IL)","3.01 (Champaign, IL)","3.02 (Champaign, IL)","4.01 (Champaign, IL)","4.02 (Champaign, IL)","5 (Champaign, IL)","53 (Champaign, IL)","54.01 (Champaign, IL)","54.02 (Champaign, IL)","55 (Champaign, IL)","56.01 (Champaign, IL)","56.02 (Champaign, IL)","57.01 (Champaign, IL)","57.02 (Champaign, IL)","58 (Champaign, IL)","59.01 (Champaign, IL)","59.02 (Champaign, IL)","60 (Champaign, IL)","7 (Champaign, IL)","8 (Champaign, IL)","9.01 (Champaign, IL)","9.02 (Champaign, IL)"
"10 (Champaign, IL)",1.651006711409396,7.0,12.0,12.375,2.343283582089552,3.7333333333333334,3.5208333333333335,8.05,2.5277777777777777,4.903225806451613,7.866666666666666,8.078947368421053,6.0,5.025316455696203,8.0625,7.416666666666667,7.142857142857143,6.0,5.9,7.066666666666666,5.888888888888889,3.736842105263158,6.7368421052631575,9.875,11.35,11.571428571428571,11.529411764705882,13.0,11.619047619047619,15.0,9.1,8.333333333333334,7.0588235294117645,8.0,4.54054054054054,6.520408163265306,2.92,4.207792207792208
"106.04 (Champaign, IL)",7.5,2.0,19.0,,7.0,7.0,7.0,8.0,12.0,9.5,13.0,13.0,14.0,11.9375,13.0,13.0,8.0,10.0,8.0,11.0,10.00390625,10.0,8.5,9.5,12.0,7.0,7.0,8.0,10.0,20.0,14.0,8.0,10.0,12.0,6.0,5.25,4.666666666666667,9.666666666666666
"109.01 (Champaign, IL)",12.0,17.0,2.6666666666666665,3.0,9.0,11.96875,8.666666666666666,14.0,12.666666666666666,10.0,9.0,12.333333333333334,10.0,7.0,4.296296296296297,4.833333333333333,10.0,10.125,12.0,11.0,9.0,8.0,15.0,13.0,20.0,14.0,14.0,11.0,12.0,13.0,10.5,11.0,10.5,10.0,14.0,16.058823529411764,13.8,15.625
"109.02 (Champaign, IL)",12.666666666666666,17.0,2.5555555555555554,2.0,9.5,10.0,8.714285714285714,11.5,11.333333333333334,9.444444444444445,8.2,12.75,11.0,7.0,3.9166666666666665,4.090909090909091,10.875,9.5,10.0,9.333333333333334,10.0,10.5,13.5,13.0,19.0,13.5,12.375,11.0,12.0,13.0,10.0,11.0,9.0,10.0,12.375,15.307692307692308,12.0,16.0
"11 (Champaign, IL)",1.8085106382978724,10.0,10.0,8.75,1.4166666666666667,3.2857142857142856,3.1875,7.0,2.6545454545454548,4.066666666666666,6.5,9.3,4.0,2.9722222222222223,6.555555555555555,7.666666666666667,5.25,5.0,5.25,4.0,5.5,1.4,6.833333333333333,9.142857142857142,12.0,10.166666666666666,10.222222222222221,11.0,10.0,10.5,8.333333333333334,7.0,6.666666666666667,5.0,5.285714285714286,6.827586206896552,4.076923076923077,4.909090909090909
"110.01 (Champaign, IL)",2.5,8.0,12.5,12.0,3.0,1.0,1.1818181818181819,6.0,6.0,7.333333333333333,10.0,10.5,,4.5,7.0,5.75,2.6666666666666665,3.142857142857143,2.0,4.0,3.3333333333333335,3.0,4.6,6.833333333333333,7.0,6.0,9.333333333333334,11.0,9.5,12.0,7.5,7.0,4.5,7.0,2.4444444444444446,4.586206896551724,2.0,6.888888888888889
"110.02 (Champaign, IL)",3.985074626865672,8.0,8.857142857142858,8.0,3.6511627906976742,1.5897435897435896,1.163265306122449,5.1,5.806451612903226,8.090909090909092,10.25,11.107142857142858,9.5,5.076923076923077,7.131578947368421,5.1568627450980395,1.68,1.8484848484848484,1.3888888888888888,3.125,1.4285714285714286,1.9038461538461537,4.297297297297297,5.714285714285714,8.5,7.428571428571429,8.391304347826088,9.0,8.4,11.0,5.25,4.642857142857143,3.8947368421052633,4.5,2.25,5.541284403669724,4.197183098591549,8.28169014084507
"111 (Champaign, IL)",7.857142857142857,11.0,10.0,13.5,7.375,6.3076923076923075,4.3,1.5,9.384615384615385,11.4375,12.625,14.923076923076923,13.0,7.75,9.9375,5.592592592592593,2.125,2.111111111111111,2.2,3.076923076923077,3.8,5.571428571428571,3.0,2.1363636363636362,5.5,2.7777777777777777,3.3703703703703702,5.894736842105263,4.533333333333333,7.142857142857143,2.1136363636363638,2.4615384615384617,1.736842105263158,4.75,6.181818181818182,7.833333333333333,8.185185185185185,12.444444444444445
"12.01 (Champaign, IL)",3.2333333333333334,10.0,10.0,9.5,2.5283018867924527,5.333333333333333,5.444444444444445,9.9375,2.6690140845070425,3.4655172413793105,5.75,6.5875,5.0,3.673076923076923,7.625,7.7272727272727275,8.5,6.833333333333333,7.833333333333333,7.0,7.0,5.2,9.68421052631579,12.272727272727273,15.0,11.538461538461538,10.625,12.833333333333334,11.071428571428571,16.0,8.625,8.833333333333334,7.428571428571429,8.333333333333334,6.818181818181818,9.147286821705427,5.552631578947368,3.9583333333333335
"12.03 (Champaign, IL)",5.0,10.0,11.0,9.3,3.3333333333333335,6.75,7.666666666666667,11.555555555555555,2.9130434782608696,2.6707317073170733,4.166666666666667,5.2727272727272725,3.0,4.285714285714286,6.818181818181818,9.2,9.25,8.5,7.0,8.5,8.0,6.333333333333333,11.571428571428571,12.5,15.25,13.5,11.5,11.0,11.25,11.0,10.125,9.5,9.333333333333334,7.0,8.818181818181818,10.610169491525424,7.388888888888889,5.852941176470588
"12.04 (Champaign, IL)",8.0,12.984375,9.0,9.0,6.75,8.5,10.75,12.714285714285714,4.818181818181818,3.358974358974359,2.1587301587301586,5.052631578947368,2.75,4.705882352941177,5.6,7.875,11.0,10.285714285714286,11.0,11.0,9.0,8.058823529411764,12.5,14.333333333333334,15.0,14.5,12.4,15.0,12.0,14.0,12.0,9.5,11.0,10.0,9.8,11.923076923076923,9.5,8.357142857142858
"12.05 (Champaign, IL)",6.75,14.0,13.25,12.0,6.785714285714286,13.5,11.25,15.666666666666666,6.475409836065574,5.837837837837838,5.111111111111111,4.298136645962733,3.0,7.972972972972973,9.6875,11.11111111111111,13.0,12.333333333333334,12.5,13.0,11.25,9.285714285714286,15.181818181818182,16.0,18.25,17.0,17.333333333333332,17.375,15.583333333333334,16.714285714285715,15.0,12.0,13.285714285714286,13.0,12.6,13.153846153846153,11.0,6.517241379310345
"12.06 (Champaign, IL)",5.5,,10.0,14.0,6.5,,9.0,12.5,5.0,1.75,2.75,3.0,3.0,4.0,8.5,8.0,10.0,10.0,10.0,10.0,10.0,9.0,14.0,14.0,,14.0,12.0,15.5,10.0,13.0,12.0,12.0,11.0,11.0,,12.0,11.0,5.75
"13.01 (Champaign, IL)",4.884615384615385,11.0,6.823529411764706,6.916666666666667,3.6125,4.833333333333333,4.666666666666667,8.294117647058824,4.423728813559322,4.089743589743589,5.435483870967742,8.212121212121213,4.0,2.3375,4.466666666666667,4.371428571428571,5.909090909090909,4.714285714285714,5.3,3.7083333333333335,2.9,2.78,7.857142857142857,10.0,12.625,10.68421052631579,8.318181818181818,7.823529411764706,6.774193548387097,8.0,5.9,4.642857142857143,5.318181818181818,4.571428571428571,6.529411764705882,8.86111111111111,7.090909090909091,8.021739130434783
"13.02 (Champaign, IL)",8.25925925925926,12.0,4.048780487804878,4.75,6.538461538461538,7.333333333333333,7.615384615384615,10.909090909090908,7.9375,6.785714285714286,5.54054054054054,9.952380952380953,6.0,4.78125,2.6030927835051547,3.971014492753623,10.0,8.0,8.5,7.181818181818182,5.8,5.551724137931035,10.761904761904763,12.714285714285714,15.0,10.666666666666666,10.176470588235293,10.25,9.117647058823529,8.375,8.857142857142858,7.555555555555555,8.466666666666667,7.666666666666667,8.857142857142858,11.311475409836065,9.125,12.0
"14 (Champaign, IL)",7.25,12.002197265625,4.666666666666667,7.25,4.5,4.25,4.521739130434782,5.7894736842105265,8.066666666666666,6.4,8.8,10.625,8.0,3.6470588235294117,4.7592592592592595,2.5737704918032787,3.4444444444444446,3.232876712328767,3.1739130434782608,2.58,2.3548387096774195,2.75,5.9,7.6,12.0,7.666666666666667,6.583333333333333,7.142857142857142,5.823529411764706,8.0,3.6363636363636362,3.135135135135135,3.9298245614035086,2.4,5.25,10.254237288135593,8.5,12.047619047619047
"2 (Champaign, IL)",5.75,8.0625,11.6875,8.0,5.5,2.0,2.4444444444444446,3.4,7.333333333333333,7.0,11.4,11.0,10.0,4.4,8.5,5.0,1.0869565217391304,2.1666666666666665,2.0,2.6363636363636362,4.0,3.6,1.7647058823529411,4.888888888888889,6.0,6.333333333333333,8.5,9.666666666666666,8.0,10.5,3.625,3.5,3.375,4.015625,2.28,5.0,3.5714285714285716,6.7
"3.01 (Champaign, IL)",5.8,9.0,9.0,9.0,4.714285714285714,3.5,1.9523809523809523,3.0,7.136363636363637,8.636363636363637,10.444444444444445,12.0,10.0,5.181818181818182,7.222222222222222,3.5833333333333335,1.8571428571428572,0.903448275862069,1.105263157894737,1.0943396226415094,1.6842105263157894,2.6153846153846154,3.6538461538461537,4.571428571428571,9.0,5.7,6.666666666666667,8.0,6.363636363636363,8.666666666666666,3.4146341463414633,2.673076923076923,1.9438202247191012,4.333333333333333,4.235294117647059,6.662650602409639,6.529411764705882,9.555555555555555
"3.02 (Champaign, IL)",6.125,8.0,10.0,9.5,4.285714285714286,2.25,2.125,3.5454545454545454,6.4,7.0,11.0,11.4,9.25,4.333333333333333,8.916666666666666,3.8095238095238093,1.1428571428571428,1.08,0.6363636363636364,1.6666666666666667,1.6666666666666667,2.727272727272727,4.444444444444445,5.0,6.0,5.5,6.8,7.0,7.333333333333333,9.0,3.4545454545454546,2.7142857142857144,2.347826086956522,4.25,3.2857142857142856,5.84,7.0,8.833333333333334
"4.01 (Champaign, IL)",7.0,11.5,9.6,10.0,5.75,4.0,3.5,3.375,8.0,8.4,9.666666666666666,12.614583333333332,10.0,4.7272727272727275,6.444444444444445,2.7045454545454546,3.0,1.3975903614457832,1.8888888888888888,1.627906976744186,2.142857142857143,3.4545454545454546,3.6153846153846154,5.0,10.0,5.666666666666667,6.833333333333333,8.0,6.0,8.25,3.875,3.0,2.65,5.333333333333333,4.2,7.918918918918919,6.833333333333333,9.0
"4.02 (Champaign, IL)",7.125,9.0,9.375,8.5,4.625,4.0,1.25,3.75,7.0,9.0,7.0,11.0,9.0,3.6,5.866666666666666,1.9375,2.0,1.564102564102564,2.0,1.7222222222222223,1.0,1.8333333333333333,3.6,7.0,10.0,7.0,5.833333333333334,7.5,7.0,9.0,4.666666666666667,3.2857142857142856,3.1739130434782608,3.6666666666666665,5.0,7.647058823529412,6.333333333333333,9.2
"5 (Champaign, IL)",3.7857142857142856,10.0,9.0,8.0,2.6470588235294117,3.4444444444444446,1.8627450980392157,5.125,5.5,6.0,8.2,10.25,8.0,3.142857142857143,5.318181818181818,3.5925925925925926,3.6666666666666665,2.4516129032258065,2.6666666666666665,2.5789473684210527,1.3,1.467741935483871,6.4,8.222222222222221,11.666666666666666,6.875,8.285714285714286,7.0,6.909090909090909,8.25,4.333333333333333,3.5483870967741935,4.147058823529412,3.0,4.352941176470588,6.9523809523809526,6.75,7.923076923076923
"53 (Champaign, IL)",7.4,5.166666666666667,13.5,12.5,6.8,4.5,4.083333333333333,2.7837837837837838,9.692307692307692,11.666666666666666,14.090909090909092,15.159090909090908,14.0,8.454545454545455,11.285714285714286,5.5,1.875,3.7777777777777777,2.25,3.375,5.5,5.5,2.231707317073171,4.6,6.0,5.666666666666667,6.421052631578948,8.11111111111111,6.4,7.666666666666667,4.133333333333334,2.875,2.9,6.0,3.5,6.0843373493975905,5.5,10.26086956521739
"54.01 (Champaign, IL)",9.7,10.125,13.75,14.5,9.5,6.166666666666667,5.583333333333333,2.5294117647058822,12.375,13.375,15.166666666666666,16.636363636363637,15.0,10.578947368421053,12.428571428571429,12.0,4.857142857142857,6.2,6.0,6.0,7.333333333333333,6.5,3.4642857142857144,1.7560975609756098,4.65,3.8684210526315788,4.933333333333334,7.0,6.344827586206897,7.1,3.75,4.333333333333333,4.777777777777778,6.0,5.615384615384615,7.142857142857143,8.4,10.2
"54.02 (Champaign, IL)",12.0,1.0,32.0,,10.25,7.5,9.0,5.0,12.666666666666666,15.0,14.0,16.428571428571427,17.0,12.0,14.851190476190476,12.0,6.0,8.75,8.0,10.0,9.5,10.0,6.0,4.0625,2.8666666666666667,6.6,11.0,9.0,10.0,12.25,6.5,8.0,8.2,11.0,7.333333333333333,7.333333333333333,8.0,8.0
"55 (Champaign, IL)",11.133333333333333,14.0,15.5,12.25,9.0,8.5,7.0625,2.975609756097561,12.0,14.0,13.0,17.2,14.0,11.0,10.428571428571429,7.7,8.0,5.583333333333333,7.0,5.833333333333333,7.0,8.25,5.5,4.0625,6.5,2.54320987654321,3.24,4.7727272727272725,4.657894736842105,7.0625,3.380952380952381,4.333333333333333,4.0,6.5,7.888888888888889,10.978260869565217,10.777777777777779,14.11111111111111
"56.01 (Champaign, IL)",11.6,10.666666666666666,14.0,12.5,10.333333333333334,8.0,7.928571428571429,3.28125,11.5,11.75,12.75,16.833333333333332,15.0,9.5,10.166666666666666,6.142857142857143,7.0,6.181818181818182,7.666666666666667,6.833333333333333,7.25,7.0,6.909090909090909,5.823529411764706,8.2,3.116279069767442,1.9315068493150684,2.8125,2.3469387755102042,5.166666666666667,2.7142857142857144,6.0,4.666666666666667,4.0,8.833333333333334,11.35897435897436,11.571428571428571,14.25
"56.02 (Champaign, IL)",12.5,12.0,11.5,12.0,11.25,11.142857142857142,9.4,5.25,11.666666666666666,11.875,14.0,15.714285714285714,12.0,7.857142857142857,8.714285714285714,6.666666666666667,10.0,8.0,7.5,7.666666666666667,8.0,7.333333333333333,7.2,6.2,9.0,4.386363636363637,2.7906976744186047,2.85,2.0517241379310347,3.3125,5.333333333333333,7.333333333333333,6.75,5.0,10.0,13.37037037037037,13.8,15.0
"57.01 (Champaign, IL)",11.375,10.0,11.4,10.5,9.5,10.0,8.0,4.826086956521739,11.6,11.125,12.25,15.071428571428571,13.0,6.8125,9.352941176470589,7.833333333333333,7.5,6.833333333333333,7.8,6.4,6.666666666666667,6.545454545454546,7.4,5.833333333333333,8.25,3.810344827586207,2.0918367346938775,2.0757575757575757,2.1260504201680672,4.216216216216216,3.5,4.615384615384615,5.5,4.0,10.181818181818182,12.742857142857142,12.0,14.928571428571429
"57.02 (Champaign, IL)",14.0,22.0,9.666666666666666,13.0,11.0,12.0,10.4,7.25,11.75,13.875,13.0,15.428571428571429,13.0,7.6,8.0,6.5,10.501302083333332,7.5,9.0,8.0,7.9375,8.75,9.5,6.0,13.75,5.5,6.0,4.083333333333333,4.096774193548387,3.46,5.25,8.5,6.333333333333333,8.0,12.0,14.642857142857142,12.0,16.0
"58 (Champaign, IL)",9.4,7.0,12.0,9.0,7.333333333333334,7.0,4.92,1.631578947368421,9.25,8.0,11.5,15.0,13.0,5.8,8.428571428571429,4.357142857142857,3.0,3.4166666666666665,3.6,3.25,4.25,6.0,3.764705882352941,4.6,7.0,2.411764705882353,2.6666666666666665,6.25,4.2,7.0,1.6818181818181819,2.227272727272727,1.85,3.5,9.0,9.529411764705882,9.0,11.5
