origin_trct_2020,"10 (Champaign, IL)","106.04 (Champaign, IL)","109.01 (Champaign, IL)","109.02 (Champaign, IL)","11 (Champaign, IL)","110.01 (Champaign, IL)","110.02 (Champaign, IL)","111 (Champaign, IL)","12.01 (Champaign, IL)","12.03 (Champaign, IL)","12.04 (Champaign, IL)","12.05 (Champaign, IL)","12.06 (Champaign, IL)","13.01 (Champaign, IL)","13.02 (Champaign, IL)","14 (Champaign, IL)","2 (Champaign, IL)","3.01 (Champaign, IL)","3.02 (Champaign, IL)","4.01 (Champaign, IL)","4.02 (Champaign, IL)","5 (Champaign, IL)","53 (Champaign, IL)","54.01 (Champaign, IL)","54.02 (Champaign, IL)","55 (Champaign, IL)","56.01 (Champaign, IL)","56.02 (Champaign, IL)","57.01 (Champaign, IL)","57.02 (Champaign, IL)","58 (Champaign, IL)","59.01 (Champaign, IL)","59.02 (Champaign, IL)","60 (Champaign, IL)","7 (Champaign, IL)","8 (Champaign, IL)","9.01 (Champaign, IL)","9.02 (Champaign, IL)"
"10 (Champaign, IL)",1.74496644295302,8.0,12.0,13.0,2.25,3.076923076923077,4.2926829268292686,8.727272727272727,3.028169014084507,4.6923076923076925,9.666666666666666,8.241379310344827,5.875,5.542857142857143,8.45,7.769230769230769,6.555555555555555,6.2727272727272725,3.5,6.5,6.444444444444445,3.888888888888889,8.233333333333333,10.166666666666666,12.6,12.529411764705882,12.1,14.5,12.2,15.0,9.777777777777779,8.25,7.5,7.0,4.533333333333333,7.173913043478261,3.246153846153846,4.255813953488372
"106.04 (Champaign, IL)",7.0,7.0,17.0,,10.0,7.75,7.5,14.0,12.6,10.5,13.0,14.0,14.0,11.0,15.0,13.5,7.0,10.0,8.5,11.0,10.125,9.0,2.5,9.6,8.0,11.666666666666668,8.0,15.0,10.0,20.0,14.0,7.75,10.0,12.0,6.333333333333333,4.526315789473684,5.428571428571429,9.5
"109.01 (Champaign, IL)",12.25,17.0,3.7,3.142857142857143,10.666666666666666,11.0,9.0,12.5,14.25,12.0,10.0,14.333333333333334,10.0,8.6,4.909090909090909,6.6,10.25,11.0,10.9375,10.0,10.0,10.0,12.333333333333334,16.0,20.5,16.0,13.333333333333334,11.5,10.5,9.75,9.75,10.96875,10.5,9.5,13.666666666666668,15.3,13.75,18.0
"109.02 (Champaign, IL)",13.0,17.0,3.1666666666666665,2.8,10.0,12.0,9.666666666666666,12.0,12.6,8.882352941176471,7.25,14.3,11.0,7.090909090909091,4.5,6.631578947368421,12.0,10.4,10.0,9.125,8.75,8.0,13.375,15.0,19.0,14.0,13.0,11.0,11.03125,11.0,12.0,11.25,10.0,9.5,12.0,16.11111111111111,15.0,16.0
"11 (Champaign, IL)",2.3684210526315788,8.666666666666668,10.0,10.0,1.65,4.5,3.2142857142857144,6.833333333333333,2.6166666666666667,4.133333333333334,6.666666666666667,8.368421052631579,6.0,3.189189189189189,6.428571428571429,5.653846153846154,7.333333333333333,3.8333333333333335,5.0,4.666666666666667,4.75,2.357142857142857,8.5,10.0,12.875,11.375,10.5,9.8,10.0,10.8,9.0,6.5,6.266666666666667,7.0,4.454545454545454,8.0625,4.764705882352941,6.120689655172414
"110.01 (Champaign, IL)",2.4571428571428573,9.0,10.6,21.75,2.4444444444444446,1.5,1.4666666666666666,5.5,5.944444444444445,7.5,10.666666666666666,11.583333333333334,,5.142857142857143,7.809523809523809,6.48,3.0,3.8333333333333335,2.5,4.333333333333333,3.6666666666666665,1.96,5.285714285714286,7.0,10.0,8.0,8.5,11.6,9.75,11.5,6.333333333333333,5.0,4.777777777777778,7.0,2.5357142857142856,5.5588235294117645,3.9523809523809526,6.777777777777778
"110.02 (Champaign, IL)",3.9523809523809526,8.0,10.6,9.0,3.8461538461538463,1.3461538461538463,1.2769230769230768,4.947368421052632,6.171428571428572,7.933333333333334,10.88888888888889,11.954545454545455,10.5,4.490566037735849,6.84375,5.046511627906977,2.6666666666666665,1.75,1.588235294117647,3.066666666666667,1.8571428571428572,2.026315789473684,4.7272727272727275,6.6923076923076925,9.333333333333334,7.185185185185185,8.5625,10.375,9.0,9.8,5.7272727272727275,4.6,3.8636363636363638,5.75,2.9411764705882355,5.986301369863014,4.2,7.955555555555556
"111 (Champaign, IL)",6.666666666666667,5.75,14.0,12.5,7.75,5.666666666666667,4.888888888888889,1.5,10.0,11.571428571428571,13.8,15.466666666666667,13.0,7.611111111111111,9.8,5.146341463414634,3.3076923076923075,2.88,2.466666666666667,3.2,3.764705882352941,6.5,2.847826086956522,2.0454545454545454,6.625,2.7,3.923076923076923,6.666666666666667,4.90625,6.6,2.1,2.25,2.1,4.0,5.333333333333333,8.507692307692308,8.421052631578947,13.347826086956522
"12.01 (Champaign, IL)",3.126984126984127,10.8,12.0,13.133333333333333,3.129032258064516,5.75,5.785714285714286,11.142857142857142,2.9527896995708156,3.857142857142857,6.8936170212765955,7.7384615384615385,4.0,5.415094339622642,8.152173913043478,9.4,8.88888888888889,7.388888888888889,8.0,7.875,6.5,5.5,10.724137931034482,12.11111111111111,14.666666666666666,13.1,13.0,15.0,11.75,11.0,11.0,9.352941176470589,9.083333333333334,9.6,7.9,10.0,6.0,5.350746268656716
"12.03 (Champaign, IL)",5.0,11.75,12.0,9.7,4.125,7.666666666666667,7.904761904761905,11.0,3.75,2.732394366197183,4.176470588235294,7.297872340425532,1.75,5.135135135135135,6.947368421052632,7.75,8.666666666666666,8.166666666666666,7.375,8.333333333333334,6.666666666666667,5.928571428571429,12.833333333333334,14.25,18.0,13.0,13.5,13.0,11.8,12.6,13.0,9.666666666666666,9.3,10.0,9.142857142857142,11.850746268656716,8.0,7.5
