origin_trct_2020,"10 (Champaign, IL)","106.04 (Champaign, IL)","109.01 (Champaign, IL)","109.02 (Champaign, IL)","11 (Champaign, IL)","110.01 (Champaign, IL)","110.02 (Champaign, IL)","111 (Champaign, IL)","12.01 (Champaign, IL)","12.03 (Champaign, IL)","12.04 (Champaign, IL)","12.05 (Champaign, IL)","12.06 (Champaign, IL)","13.01 (Champaign, IL)","13.02 (Champaign, IL)","14 (Champaign, IL)","2 (Champaign, IL)","3.01 (Champaign, IL)","3.02 (Champaign, IL)","4.01 (Champaign, IL)","4.02 (Champaign, IL)","5 (Champaign, IL)","53 (Champaign, IL)","54.01 (Champaign, IL)","54.02 (Champaign, IL)","55 (Champaign, IL)","56.01 (Champaign, IL)","56.02 (Champaign, IL)","57.01 (Champaign, IL)","57.02 (Champaign, IL)","58 (Champaign, IL)","59.01 (Champaign, IL)","59.02 (Champaign, IL)","60 (Champaign, IL)","7 (Champaign, IL)","8 (Champaign, IL)","9.01 (Champaign, IL)","9.02 (Champaign, IL)"
"10 (Champaign, IL)",1.75,10.0,10.333333333333334,12.0,2.727272727272727,3.75,4.12,7.923076923076923,2.847457627118644,5.0625,7.666666666666667,7.6875,6.0,5.157894736842105,7.333333333333333,7.384615384615385,6.333333333333333,6.85,5.0,6.454545454545454,5.8,3.4545454545454546,7.6923076923076925,10.857142857142858,13.0,10.666666666666666,12.4,13.5,12.428571428571429,14.0,8.857142857142858,8.4,7.6,9.0,5.166666666666667,7.323529411764706,3.0,4.1
"106.04 (Champaign, IL)",6.0,2.5,17.0,,9.5,8.0,7.0,12.0,10.5,9.0,11.5,11.0,14.0,10.5,13.0,11.125,7.5,10.0,10.0,12.0625,11.0,9.0625,5.0,13.333333333333334,2.0,13.5,7.5,16.0,10.0,17.0625,14.0,6.0,11.125,12.0,6.5,5.65,7.0,8.0
"109.01 (Champaign, IL)",13.0,17.0,3.142857142857143,3.0,10.03125,9.666666666666666,10.333333333333334,13.0,11.9,11.0,11.0,15.2,10.0,6.933333333333334,4.0,5.818181818181818,13.5,11.0,10.5,9.0,9.75,8.0,15.333333333333334,16.0,20.5,15.0,13.0,12.25,11.0,12.0,12.604166666666668,10.75,10.666666666666666,9.5,14.5,15.2,13.25,16.0
"109.02 (Champaign, IL)",13.166666666666668,17.0,3.25,2.3333333333333335,9.625,11.5,10.0,12.0,10.666666666666666,9.0,9.0,14.833333333333334,10.5,7.571428571428571,4.0,5.5,12.25,9.0,10.0,9.0,8.0,9.0,11.0,14.375,19.0,15.0,13.0,11.666666666666666,13.0,11.0,11.0,9.416666666666668,9.0,9.5,14.0,15.4,12.5,15.625
"11 (Champaign, IL)",2.769230769230769,6.0,11.5,8.833333333333334,1.7619047619047619,3.0,3.142857142857143,7.2,2.9836065573770494,4.090909090909091,6.333333333333333,9.25,6.0,3.65,7.0,4.9,7.428571428571429,5.0,5.0625,6.0,4.666666666666667,2.7419354838709675,7.0,10.0,12.5,10.166666666666666,11.0,9.0,9.333333333333334,12.571428571428571,8.4,6.0,5.888888888888889,6.083333333333334,5.0,7.368421052631579,4.461538461538462,6.0
"110.01 (Champaign, IL)",3.5,6.75,8.5,10.0,3.857142857142857,1.0,1.4444444444444444,4.75,4.25,6.333333333333333,10.0,10.0,,5.105263157894737,7.125,5.631578947368421,1.0,3.7142857142857144,2.125,4.5,3.6666666666666665,2.0,6.0,7.833333333333333,8.0,9.5,9.333333333333334,12.375,9.666666666666666,11.5,6.5,5.0,5.0,6.0,2.0,5.607142857142857,2.9,6.166666666666667
"110.02 (Champaign, IL)",3.883720930232558,8.0,10.3,9.470588235294118,3.1538461538461537,1.7083333333333333,1.1204819277108433,4.642857142857143,6.035714285714286,7.647058823529412,10.0,11.666666666666666,10.0,4.557377049180328,7.416666666666667,5.238095238095238,2.4285714285714284,2.0625,1.375,3.0,1.75,1.9803921568627452,4.774193548387097,6.9,9.571428571428571,7.6923076923076925,9.181818181818182,9.4,8.615384615384615,12.333333333333334,5.333333333333333,4.0,3.9285714285714284,5.0,2.7777777777777777,5.870967741935484,4.0625,8.942857142857143
"111 (Champaign, IL)",7.916666666666667,11.0,11.0,11.0,8.428571428571429,5.6,4.761904761904762,1.837837837837838,9.91304347826087,11.666666666666666,14.285714285714286,14.714285714285714,13.0,8.1,9.5,5.548387096774194,3.7142857142857144,2.6818181818181817,3.75,3.1333333333333333,3.0,5.857142857142857,2.575,2.5,5.5,3.0,3.96,6.666666666666667,5.073170731707317,7.0,2.4,2.380952380952381,2.175,4.333333333333333,5.875,8.537037037037036,6.9,12.766666666666667
"12.01 (Champaign, IL)",2.596774193548387,12.0,12.25,12.5,2.5135135135135136,6.7272727272727275,6.628571428571429,10.529411764705882,2.3253968253968256,3.0,7.833333333333333,7.119047619047619,4.0,5.130434782608695,7.857142857142857,8.407407407407407,8.5,7.583333333333333,7.25,8.2,7.0,6.0476190476190474,10.678571428571429,12.428571428571429,13.5,12.333333333333334,11.2,16.0,12.466666666666667,13.125,10.181818181818182,10.25,8.631578947368421,9.666666666666666,8.363636363636363,9.878571428571428,6.65,4.553846153846154
"12.03 (Champaign, IL)",5.314285714285714,10.416666666666668,11.625,10.090909090909092,3.6666666666666665,7.5,8.05,12.0,3.5211267605633805,2.75,4.027777777777778,5.285714285714286,3.0,4.125,6.34375,7.230769230769231,10.0,8.4,8.2,8.8,7.333333333333333,6.0588235294117645,13.3,13.4,14.5,13.4,13.0,12.0,11.5,13.0,11.666666666666666,8.833333333333334,9.0,8.0,9.3125,11.557377049180328,7.466666666666667,6.944444444444445
"12.04 (Champaign, IL)",6.0,16.0,9.0,8.0,5.333333333333333,10.666666666666666,9.8,15.0,6.0625,4.783783783783784,2.58974358974359,4.888888888888889,3.0,5.928571428571429,5.625,9.307692307692308,13.416666666666666,11.571428571428571,11.5,10.5,11.0,8.25,12.6,14.75,16.0,13.0,13.0,10.5,12.0,13.0,11.733333333333334,11.0,11.227272727272727,10.5,11.333333333333334,12.448275862068966,10.25,8.615384615384615
